Algorytm;Funkcja testowa;Liczba szukanych parametrów;Prawdopobieñstwo mutacji;Prawdopobieñstwo crossover;Liczba iteracji;Rozmiar populacji;Znalezione minimum;Œrednia wartoœæ znalezionych parametrów;Odchylenie standardowe znalezionych parametrów;Wartoœæ funkcji celu;Odchylenie standardowe funkcji celu
GA;Beale;2;0,1;0,9;10;20;(3,0272540303389093, 0,5042895124605051);(1,4841785424443295, 0,6137423914005657);(5,159115148475565, 0,3967302826723436);0,00025184627905350097;1,0733847308945832
GA;Beale;2;0,1;0,9;20;20;(3,0073059382581193, 0,5004334230304138);(1,998158496587409, 0,5244745170065717);(4,028639474441076, 0,1620812189107603);5,22690529266897E-05;0,33886615384556784
GA;Beale;2;0,1;0,9;40;20;(3,0201376243894633, 0,5051166293277692);(1,3966673667264318, 0,6484166311901393);(7,805394619970778, 0,17959881392901025);6,412098210322932E-05;0,35933113177932346
GA;Beale;2;0,1;0,9;60;20;(2,974297699638422, 0,4928617027954713);(1,4210148766735562, 0,7263857074065363);(4,668100463922457, 0,26514305837031993);0,00011961422481092297;0,42600005716378647
GA;Beale;2;0,1;0,9;80;20;(3,030509042659593, 0,5083621671356066);(2,3937521090521487, 0,5426868823858635);(2,7158878901200496, 0,087685933246189);0,00016319824614443597;0,14372075361624254
GA;Beale;2;0,1;0,9;100;20;(2,9833533130227217, 0,4953608264401196);(1,886655946387751, 0,6343637028670722);(4,951872450619061, 0,15837831934111238);5,043608206559778E-05;0,27279379077691784
GA;Beale;2;0,1;0,9;1000;20;(3,000496348265026, 0,5001353571101509);(1,3550703662314982, 0,6841674917030947);(8,730829538439712, 0,10756028148171912);4,2905070196180125E-08;0,21253821524866093
GA;Beale;2;0,1;0,9;5;40;(2,9833448609903943, 0,48889813718606984);(1,5543139204844247, 0,5292236513852053);(5,564730715956796, 0,21182130510134878);0,0011197067026051547;0,5263776905395936
GA;Beale;2;0,1;0,9;10;40;(3,000760056080631, 0,5002607094095319);(2,5616546706171994, 0,4600088999029091);(1,196722691403875, 0,07108824464112352);2,130789592686671E-07;0,14739059677508998
GA;Beale;2;0,1;0,9;20;40;(3,0058614830907477, 0,5012304131437596);(2,869411446793639, 0,44697487592027335);(0,1466017462563322, 0,01105841414151286);6,583483362658508E-06;0,03870361242745939
GA;Beale;2;0,1;0,9;40;40;(3,0003566588718464, 0,5000879402237742);(2,6054924920116576, 0,5178730485959446);(2,515171158167362, 0,029053729249842772);2,0358045793635676E-08;0,04725077374714615
GA;Beale;2;0,1;0,9;60;40;(3,000230228121076, 0,5001089171001224);(2,3962616622306343, 0,5723507749526956);(3,601110944680358, 0,05723316621777589);7,046881825282756E-08;0,09384785840354086
